UKPRN,Univ,T1 - Communication and Interaction,T2 - Philosophy of Education,T3 - Methodological Depth,T4 - Citizenship and Culture,T5 - Developmental Psychology,T6 - Health and Medicine,T7 - Mathematics,T8 - Gender,T9 - Regional issues and international development,T10 - Psychiatry and Psychopathology,T11 - Non-English Components,T12 - Language and Linguistics,T13 - Technology Enhanced Learning,T14 - Critical and Social Theory,"T15 - History, Religion and Race",T16 - Early Childhood and Families,T17 - Leadership and Management,T18 - New Materialism,T19 - Clinical Psychology and Developmental Disorders,T20 - Claims of Significance,T21 - Sports and Health,T22 - Analysing large-scale data,T23 - Schooling Systems,T24 - Affective Factors,T25 - Children's Social Care,T26 - Education Policy,T27 - Higher Education,T28 - Training and Employment,T29 - Special Educational Needs and Disabilities,T30 - Teacher Education and Professional Development,T31 - Science Education,T32 - Interviews and Focus Groups,T33 - Systematic Reviews and Meta-Analyses,T34 - Cognitive Processing,T35 - Reading,UKPRN2,4*,3*,2*,1*,outputGPA,UKPRN3
10007140,Birmingham City University,0.0403342540,0.0758728982,0.0820591427,0.0004616104,0.0629924871,0.0007662749,0.0195488895,0.0185950493,0.0071001238,0.0035035919,0.0004086499,0.0154805121,0.0056252951,0.0654947630,0.0105600375,0.0552114761,0.0286810814,0.0311354117,0.0006150234,0.0026900781,0.0036387442,0.0088365940,0.0474984227,0.0069393730,0.0028574299,0.0552269529,0.0530094864,0.0121675393,0.0092779068,0.0642517975,0.0051569199,0.1084034905,0.0010397213,0.0312870266,0.0632719448,10007140,16.7,40,33.3,10,2.634,10007140
10007786,University of Bristol,0.0339518661,0.0518124138,0.0903958268,0.0036035986,0.0151490400,0.0047771537,0.0205895455,0.0076696055,0.0482035106,0.0152916384,0.0028583645,0.0402655866,0.0263793877,0.0570575293,0.0142714076,0.0210195633,0.0167327311,0.0314121360,0.0053862475,0.0127029064,0.0042951512,0.0922209331,0.0444960732,0.0108672681,0.0130170025,0.0396117506,0.0217346566,0.0123840143,0.0098229812,0.0553481349,0.0179030455,0.1042655161,0.0045727006,0.0274057022,0.0225250107,10007786,29.9,39.6,29.2,0.7,2.975,10007786
10007784,University College London,0.0309441773,0.0577712225,0.0907049922,0.0116587687,0.0179219318,0.0222072417,0.0154573946,0.0164174033,0.0255610874,0.0198026169,0.0037190777,0.0110730715,0.0260563173,0.0439910453,0.0186049516,0.0301170020,0.0204935396,0.0257136289,0.0116810017,0.0089891207,0.0069760790,0.0800031214,0.0554470861,0.0154750693,0.0253329497,0.0520440711,0.0210550591,0.0297776712,0.0077294923,0.0428681354,0.0121902217,0.0857819011,0.0173924632,0.0219399990,0.0171010878,10007784,20.95,33.7,35.4,5.95,2.6165,10007784
10008010,Stranmillis University College,0.0069818381,0.0614352553,0.0802783366,0.0382839034,0.0024298686,0.0010420994,0.0173419822,0.0118560966,0.0014653580,0.0024849792,0.0053397740,0.0088367518,0.0269176409,0.0096240544,0.0312429295,0.1125470380,0.0030949815,0.0123716365,0.0091396476,0.0059895540,0.0019551215,0.0186918781,0.1072200373,0.0053547654,0.0048485437,0.0432840958,0.0239345616,0.0137057250,0.0237829098,0.1250081797,0.0225499923,0.1301497682,0.0017971509,0.0195901355,0.0094234096,10008010,30,25,35,10,2.75,10008010
10007773,Open University,0.0712197900,0.0333507442,0.1254830567,0.0027645798,0.0226479369,0.0027926401,0.0091221122,0.0120486147,0.0153383820,0.0042208634,0.0031368562,0.0284412499,0.1532165877,0.0407172478,0.0062113984,0.0310924822,0.0131763392,0.0385384077,0.0037584719,0.0089248275,0.0045813075,0.0157434245,0.0153167091,0.0148474037,0.0109070842,0.0206617184,0.0477926498,0.0066371143,0.0056819422,0.0536738979,0.0195873407,0.1074063756,0.0024478946,0.0185004033,0.0300121453,10007773,16.8,41.6,33.2,8.4,2.668,10007773
10007790,University of Edinburgh,0.0198393269,0.0554533672,0.0757835194,0.0105373178,0.0159060697,0.0068639023,0.0042255690,0.0116374433,0.0090215402,0.0168571522,0.0030883515,0.0159437486,0.0155109575,0.0625125323,0.0070455439,0.0295320850,0.0103304128,0.0231645377,0.0189819755,0.0120364357,0.0072324942,0.0525334018,0.0408842520,0.0154725797,0.0458519860,0.0583265897,0.0543960608,0.0554641882,0.0137254715,0.0631615489,0.0043336266,0.1033669085,0.0089566399,0.0183431166,0.0336793469,10007790,19.4,48.5,29.9,2.2,2.851,10007790
10007788,University of Cambridge,0.0504124211,0.0596521298,0.0926603682,0.0028583455,0.0271464744,0.0018100567,0.0371588566,0.0112286656,0.0287341772,0.0040284964,0.0015127486,0.0114502461,0.0127173483,0.0490934594,0.0203228120,0.0162896181,0.0269136877,0.0393978660,0.0013376035,0.0122591233,0.0029400320,0.0487956339,0.0618560978,0.0238238580,0.0114229176,0.0298351742,0.0173581230,0.0149366178,0.0142626724,0.1023421839,0.0227800961,0.1047663002,0.0021851199,0.0180288297,0.0176818389,10007788,38.1,31.3,27.9,2,3.041,10007788
10007852,University of Dundee,0.0201248253,0.0654559560,0.0996506405,0.0063090663,0.0120469190,0.1006820432,0.0126736975,0.0071454203,0.0044469180,0.0385834501,0.0023121550,0.0057965675,0.0180524325,0.0270982277,0.0026724311,0.0283139352,0.0109858491,0.0210859833,0.0190946015,0.0086932155,0.0085298085,0.0608142449,0.0686329828,0.0553380332,0.0167400337,0.0093283225,0.0329538523,0.0016139166,0.0027422596,0.0475294941,0.0066509569,0.1101642121,0.0337725245,0.0163328698,0.0176321541,10007852,13.5,67.6,13.5,5.4,2.892,10007852
10007823,Edge Hill University,0.0132390466,0.0505701072,0.0725909407,0.0003281067,0.0090796317,0.0051872689,0.0041378460,0.0303393068,0.0008070567,0.0143781228,0.0017362071,0.0045045482,0.0236308527,0.0586635576,0.0044626306,0.0068944474,0.0139861505,0.0189650872,0.0038667184,0.0080309440,0.0033629661,0.0087483450,0.0444780056,0.1150810211,0.0060072273,0.0352398121,0.0850124139,0.0242350910,0.0296308753,0.0994107840,0.0047179896,0.1651272661,0.0040157121,0.0153426193,0.0141912940,10007823,2.1,35.4,31.2,31.3,2.083,10007823
10003957,Liverpool John Moores University,0.0158607829,0.0644153120,0.0923517841,0.0078493495,0.0173670584,0.0033853132,0.0032069627,0.0060919684,0.0083689910,0.0047084148,0.0013258338,0.0143739455,0.0660428993,0.0636240386,0.0078588415,0.0219483805,0.0778655853,0.0363498874,0.0011895114,0.0130380354,0.0111015897,0.0141235855,0.0484779752,0.0067783546,0.0087719070,0.0880893831,0.0456023575,0.0089016357,0.0037984765,0.0959039921,0.0043133510,0.1003380820,0.0015274651,0.0143022487,0.0207467006,10003957,16,54,26,0,2.78,10003957
