Institution code (UKPRN),Institution name,Institution sort order,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Profile,FTE of submitted staff,Total FTE of submitted staff for joint submission,% of eligible staff submitted,4*,3*,2*,1*,Unclassified,OutputsGPA,UKPRN,T1 - Communication and Interaction,T2 - Philosophy of Education,T3 - Methodological Depth,T4 - Citizenship and Culture,T5 - Developmental Psychology,T6 - Health and Medicine,T7 - Mathematics,T8 - Gender,T9 - Regional issues and international development,T10 - Psychiatry and Psychopathology,T11 - Non-English Components,T12 - Language and Linguistics,T13 - Technology Enhanced Learning,T14 - Critical and Theory,"T15 - History, Religion and Race",T16 - Early Childhood and Families,T17 - Leadership and Management,T18 - New Materialism,T19 - Clinical Psychology and Developmental Disorders,T20 - Claims of Significance,T21 - Sports and Health,T22 - Analysing large-scale data,T23 - Schooling Systems,T24 - Affective Factors,T25 - Children's Social Care,T26 - Education Policy,T27 - Higher Education,T28 - Training and Employment,T29 - Special Educational Needs and Disabilities,T30 - Teacher Education and Professional Development,T31 - Science Education,T32 - Interviews and Focus Groups,T33 - Systematic Reviews and Meta-Analyses,T34 - Cognitive Processing,T35 - Reading,Log2(T1)_Log2(T3),Log2(T2)_Log2(T3),Log2(T4)_Log2(T3),Log2(T5)_Log2(T3),Log2(T6)_Log2(T3),Log2(T7)_Log2(T3),Log2(T8)_Log2(T3),Log2(T9)_Log2(T3),Log2(T10)_Log2(T3),Log2(T11)_Log2(T3),Log2(T12)_Log2(T3),Log2(T13)_Log2(T3),Log2(T14)_Log2(T3),Log2(T15)_Log2(T3),Log2(T16)_Log2(T3),Log2(T17)_Log2(T3),Log2(T18)_Log2(T3),Log2(T19)_Log2(T3),Log2(T20)_Log2(T3),Log2(T21)_Log2(T3),Log2(T22)_Log2(T3),Log2(T23)_Log2(T3),Log2(T24)_Log2(T3),Log2(T25)_Log2(T3),Log2(T26)_Log2(T3),Log2(T27)_Log2(T3),Log2(T28)_Log2(T3),Log2(T29)_Log2(T3),Log2(T30)_Log2(T3),Log2(T31)_Log2(T3),Log2(T32)_Log2(T3),Log2(T33)_Log2(T3),Log2(T34)_Log2(T3),Log2(T35)_Log2(T3)
10003957,Liverpool John Moores University,80,C,23,Education,,,,Outputs,25.6,,35,14.1,37.5,35.9,10.9,1.6,2.516,10003957,0.005260082,0.02975265,0.092759569,0.006085407,0.010512888,0.003932758,0.010354775,0.007707946,0.011827711,0.025380368,0.031476299,0.016798044,0.017924113,0.03753742,0.004316239,0.030288721,0.005323992,0.042533672,0.002488659,0.016586837,0.092459636,0.008561483,0.026342256,0.143657868,0.007110205,0.019015051,0.03257145,0.006366673,0.013140366,0.065580502,0.001196796,0.12987142,0.014149048,0.029917061,0.00121204,-4.140338954,-1.640477961,-3.930070522,-3.141337061,-4.559882991,-3.163199918,-3.589077683,-2.971325254,-1.869783151,-1.559230177,-2.465202825,-2.371594422,-1.305166627,-4.425649364,-1.614715453,-4.122915788,-1.124890704,-5.220055802,-2.483457354,-0.004672431,-3.437563443,-1.816117227,0.631068989,-3.705532988,-2.286354324,-1.50988818,-3.864884654,-2.819490691,-0.50022916,-6.276246995,0.485515961,-2.712791143,-1.632527649,-6.257987539
10004048,London Metropolitan University,83,C,23,Education,,,,Outputs,12.5,,100,9.7,3.2,19.4,51.6,16.1,1.388,10004048,0.019082449,0.034150055,0.056981307,0.001115802,0.126278697,0.005997237,0.000525385,0.001694067,0.005108445,0.002866614,0.000276377,0.006337877,0.031079702,0.046988538,0.005247039,0.006241651,0.062546403,0.031470424,0.005682079,0.01064826,0.003104548,0.001612085,0.002139222,0.005233202,0.022529088,0.01298958,0.166540557,0.005185753,0.012837127,0.0971846,0.000549758,0.130621372,0.000599104,0.052141205,0.026414393,-1.578242398,-0.738600819,-5.674336081,1.148050661,-3.248118861,-6.760969487,-5.07192596,-3.479532663,-4.313068985,-7.687708981,-3.168417092,-0.874516025,-0.278179828,-3.440913208,-3.19048912,0.134438214,-0.856492082,-3.325998035,-2.419871017,-4.198033825,-5.14348881,-4.735330936,-3.444722744,-1.338699791,-2.133133976,1.547312933,-3.457863343,-2.150166413,0.770239001,-6.695548653,1.196830343,-6.571538205,-0.12806478,-1.109164464
10004113,Loughborough University,87,C,23,Education,,,,Outputs,18.4,,100,37.1,34.3,25.7,2.9,0,3.056,10004113,0.003913252,0.018905355,0.093258206,0.000292257,0.286571865,0.005943888,0.147223403,0.000330029,0.0005022,0.016580751,0.000710843,0.004578396,0.010271374,0.01129591,0.000688023,0.004880603,0.007100706,0.001217603,0.003934998,0.010897671,0.001584268,0.033563038,0.013353356,0.059038708,0.000842811,0.003889339,0.01898998,0.001137648,0.000185866,0.015410029,0.010874863,0.041087701,0.013686533,0.139252494,0.018006036,-4.574790792,-2.302435769,-8.317850698,1.619594388,-3.971751807,0.658704443,-8.142494311,-7.53682502,-2.491721326,-7.035555021,-4.348316568,-3.182601534,-3.045430155,-7.082629311,-4.25609949,-3.71519639,-6.259115133,-4.566795944,-3.097210858,-5.879341991,-1.474357385,-2.804028297,-0.659569523,-6.789878084,-4.58363398,-2.29599231,-6.357105223,-8.970821558,-2.597361154,-3.100233515,-1.182524075,-2.768473604,0.578400577,-2.372750092
10004180,Manchester Metropolitan University,89,C,23,Education,,,,Outputs,46.3,,35,25,50.9,21.5,2.6,0,2.983,10004180,0.030870507,0.108024262,0.044972062,0.006847235,0.014154025,0.000534071,0.028878346,0.013371107,0.0121592,0.006269403,0.003953549,0.006245954,0.031252491,0.081794908,0.007796358,0.047264673,0.011511217,0.18894047,0.001655593,0.014080509,0.004163153,0.002969384,0.034489917,0.003205973,0.015632387,0.0618709,0.011714218,0.007936762,0.003897968,0.04802686,0.005776873,0.104293816,0.002554882,0.006186269,0.026704699,-0.542799862,1.264254446,-2.715435601,-1.667816679,-6.395852461,-0.63904091,-1.749910092,-1.886980698,-2.842629037,-3.507808716,-2.848035113,-0.525057829,0.862982012,-2.528156833,0.071733255,-1.965988672,2.070830828,-4.763609321,-1.675329536,-3.433280659,-3.920793622,-0.382854355,-3.810194812,-1.524490897,0.460232008,-1.940768381,-2.502406621,-3.528234975,0.094812464,-2.960668436,1.213552697,-4.137700529,-2.861887452,-0.751935423
10004351,Middlesex University,91,C,23,Education,,,,Outputs,14.45,,25,13.9,38.9,22.2,25,0,2.417,10004351,0.037192514,0.094268483,0.062572129,0.038397655,0.001185601,0.000938051,0.000340536,0.015987549,0.000912351,0.002355958,0.001707131,0.004184088,0.023599703,0.0590941,0.010514373,0.05906534,0.015883343,0.122170114,2.66867E-05,0.013363516,0.003401481,0.000169066,0.026058834,0.0033945,0.012227221,0.071011231,0.06822585,0.014336741,0.000941758,0.099864728,0.001251854,0.132378538,0.000599692,0.001331935,0.001047352,-0.750507904,0.59125532,-0.704501997,-5.7218296,-6.059709763,-7.521570381,-1.968571416,-6.099788227,-4.731134242,-5.195874312,-3.90253499,-1.406751457,-0.082506096,-2.573157422,-0.083208394,-1.978005599,0.965299313,-11.19518553,-2.227220521,-4.201285338,-8.531793098,-1.263747678,-4.204249328,-2.355423647,0.182527035,0.124798268,-2.125803047,-6.054019797,0.674455022,-5.643381552,1.081077154,-6.705154275,-5.553924749,-5.90070186
10004930,Oxford Brookes University,101,C,23,Education,,,,Outputs,16.6,,30,23.8,42.9,26.2,7.1,0,2.834,10004930,0.016225193,0.063475528,0.072839479,0.004361975,0.003539626,0.001691394,0.006538957,0.011399281,0.009855629,0.005365593,0.00032676,0.040662235,0.009431749,0.051653623,0.058654677,0.017423019,0.063672372,0.04656786,1.53549E-05,0.015702826,0.009202282,0.014987593,0.057459496,0.05064577,0.012484404,0.017090975,0.040488286,0.006844805,0.004567847,0.080205449,0.02789939,0.162790284,0.003625376,0.010276976,0.002027938,-2.166484929,-0.1985201,-4.061667279,-4.363051715,-5.428435946,-3.47758816,-2.675777769,-2.885700816,-3.762911165,-7.800345946,-0.841031097,-2.949123407,-0.495851047,-0.312474453,-2.06372598,-0.19405309,-0.645386,-12.21180246,-2.213696422,-2.984657046,-2.280951851,-0.342175267,-0.524278813,-2.544593703,-2.091485877,-0.847216024,-3.411639218,-3.995134263,0.138979657,-1.384487029,1.160222089,-4.328517959,-2.825304819,-5.166635439
10005343,Queen's University of Belfast,106,C,23,Education,,,,Outputs,31.4,,100,29.1,43.1,25.3,2.5,0,2.988,10005343,0.015942813,0.039593527,0.112237565,0.055718499,0.005348342,0.022165008,0.018855161,0.010623017,0.008037811,0.03505602,0.001507202,0.027924451,0.006821919,0.051031858,0.00988994,0.040147954,0.013315474,0.019483318,0.06066658,0.014049375,0.000726511,0.02990912,0.076654276,0.0246502,0.021892967,0.039553608,0.016757713,0.001978103,0.001144848,0.049079479,0.008745431,0.101972281,0.04011304,0.011238487,0.007168103,-2.815577472,-1.503219137,-1.010327331,-4.391320142,-2.340199858,-2.573524233,-3.401290117,-3.803609098,-1.678821516,-6.218539237,-2.006954809,-4.040234163,-1.137085545,-3.504450023,-1.483157236,-3.075379978,-2.526244329,-0.887581727,-2.997977787,-7.271354606,-1.907898258,-0.550117442,-2.186884353,-2.35801625,-1.504674411,-2.74365849,-5.826294607,-6.615255411,-1.193363783,-3.6818823,-0.13837858,-1.484412408,-3.320035839,-3.968820429
10005790,Sheffield Hallam University,124,C,23,Education,,,,Outputs,41.6,,25,22.1,48.1,24,5.8,0,2.865,10005790,0.067369431,0.041942605,0.087537563,0.003932199,0.007083844,0.001572274,0.015809833,0.029860417,0.002880486,0.032264074,0.000113459,0.006623877,0.010659109,0.07312439,0.017879934,0.031819234,0.025804689,0.109146621,0.005331076,0.016389925,0.001811057,0.010482787,0.035789111,0.018837024,0.016267566,0.032151637,0.038257602,0.014517829,0.009817512,0.093015629,0.005982598,0.115946703,0.00622662,0.01117674,0.002574545,-0.377808113,-1.061485753,-4.476494022,-3.627297816,-5.798977457,-2.469080073,-1.551667922,-4.925518106,-1.439973628,-9.59158455,-3.724154399,-3.037815353,-0.259549539,-2.291560839,-1.460003126,-1.762269002,0.318293337,-4.037403452,-2.417092978,-5.59499829,-3.061879842,-1.290381524,-2.216331208,-2.427903822,-1.445010055,-1.194155791,-2.592076518,-3.156472865,0.087570918,-3.871058171,0.405487661,-3.81338104,-2.969402755,-5.087512612
10006840,The University of Birmingham,14,C,23,Education,,,,Outputs,34.44,,100,44.2,44.2,10.4,1.2,0,3.314,10006840,0.014230107,0.094125153,0.068764097,0.020312779,0.0035168,0.015494305,0.002202359,0.008725273,0.008294227,0.007515134,0.002737068,0.033030131,0.00952517,0.071884942,0.070083302,0.022448793,0.004999893,0.036189249,0.027972742,0.014901132,0.001480677,0.037215754,0.061509607,0.032161722,0.014375843,0.069557786,0.033539769,0.01482642,0.030356553,0.037355477,0.005294218,0.067656968,0.009577842,0.008300965,0.039837746,-2.272709043,0.452924798,-1.75926788,-4.289320422,-2.149917497,-4.964533814,-2.97838328,-3.051475989,-3.193784854,-4.650952145,-1.057872807,-2.851838772,0.064034098,0.027415252,-1.615017636,-3.781686424,-0.926094347,-1.297633846,-2.20623361,-5.537326414,-0.885742041,-0.160843739,-1.096310866,-2.258008941,0.016556521,-1.035782729,-2.213485194,-1.179647526,-0.880335716,-3.69916611,-0.023416978,-2.843882967,-3.050304525,-0.787519463
10006841,The University of Bolton,17,C,23,Education,,,,Outputs,9.35,,30,8.7,17.4,17.4,52.2,4.3,1.74,10006841,0.03160249,0.06036436,0.113316759,0.010279824,0.002808807,0.021012453,0.059898465,1.88082E-05,0.003804077,0.002752291,0.000955115,0.006346029,0.10310881,0.014452104,0.001712489,0.001975473,0.099307721,0.018078584,0.000447722,0.008326111,0.001534945,0.004127485,0.05037463,0.008092271,0.009084116,0.051223436,0.035240497,0.012705433,0.001379307,0.150636178,0.001689183,0.101508042,0.001212972,0.001183325,0.00943969,-1.842251111,-0.908592324,-3.462473727,-5.334259836,-2.431044766,-0.919770307,-12.55671025,-4.89667116,-5.363584439,-6.890471691,-4.158363329,-0.136193647,-2.97100977,-6.048122747,-5.84201915,-0.190383449,-2.648007676,-7.983543472,-3.766574569,-6.206030093,-4.778954646,-1.169591998,-3.80767288,-3.640871385,-1.145485323,-1.685055078,-3.156843857,-6.360273517,0.410707057,-6.067892141,-0.158767211,-6.54567153,-6.581371654,-3.585477969
